,DMXR1,DMXR2,C0,C1,C2,C3,C4,C5
37,56213.72756748472602,56214.836456664677826,36.183616468697870516,354.6845017114101779,86.40112527285781141,14.827625398091260678,-4.8351811996066089705,-11.585450090168212256
38,56234.792586524781655,56235.764071577919825,33.843172961126448683,358.83481579305413334,87.550626704597121375,-0.017712437360430655087,-9.131904947380304449,0.99338998554885049597
39,56249.65155007161957,56250.740873314716737,-53.423842571119699585,359.3171030325647166,81.16118687833163392,-5.1429726202342660457,-4.2000795190725943584,6.150960515712098342
42,56288.49479328591405,56290.54592409505131,-13.460427699755889819,349.31520297529004893,76.38668306668851926,15.018850882639368294,1.9348264797934962012,-9.551673931360332048
43,56310.341895827827106,56311.567484139108274,6.349961394917059465,344.2915942880705984,84.01162890003924133,16.860024912362177929,-5.572455503802461685,-10.018462365908224143
44,56332.41235860959568,56333.613894097303277,51.423583007991624072,346.1584720331770768,78.80573316883875634,1.9739125837630500104,-0.631061189078399698,3.2434445255271935338
45,56352.33142260574823,56354.42690215439507,47.537542114089298195,339.97965564436901786,76.03282383786930154,15.947525709919785797,0.96913473549572581867,-5.6057627802808607242
46,56367.291592121044236,56368.396238212568274,52.429986029186466112,342.33180182146628567,81.01732039122146034,7.981792694560966517,-4.154293276321111783,-1.6728075664287289648
47,56387.27581582307175,56391.28974500853655,34.00793570826330381,341.54084293000551042,77.680895501951937376,13.968974826490587304,-1.7068854530130861402,-6.8131980942359682274
48,56407.13272077459987,56410.368411566640138,84.84872123649842024,344.8596896033432131,82.895368263522939856,0.6936006772137082166,-4.2567696162301338347,5.5846158429565937453
49,56431.156112783835855,56432.316421341747628,89.05494597886034569,343.34969584305315493,75.68079238144194676,4.8781297534608656363,1.4034033186722949527,1.9861624600478653413
50,56450.013068909160207,56451.256711931484457,94.32959732352566107,340.9733186320410141,81.79804570238297856,9.820457573553564856,-5.6042274749449134674,-2.4769173876898049613
51,56471.012489181761342,56472.064438769208206,46.865677305010969178,339.5699117261107176,79.878496847033446215,12.92893966941653261,-3.9457833295368001103,-4.8801029871183478903
52,56492.06790044237278,56493.12930748950021,76.97509179301168558,341.40114847377549268,77.07593005010475906,7.6032008994887751996,-3.2678147422322796345,-3.0273949797527812677
53,56521.88811597767199,56523.0480027276717,15.248429614323448789,343.09037697314209936,74.16365646168956971,-4.909442968940332719,-0.27523657388419381364,10.245312328541126945
