,DMXR1,DMXR2,a0,a1,a2,a3,a4,a5
17,55918.456552258343436,55919.553976363880786,38.465099182330519056,350.15156623013456283,74.5942833258938407,12.9093682359290511386,0.72150846358703180083,-5.1554156342646519917
18,55948.374951158431944,55949.472035648956076,56.750860285530485783,350.17726656752932968,79.545622722194252674,-2.514532927229550019,-4.231826708581230889,8.9450556773568905555
19,56002.37960537188337,56003.433607327453494,61.11752017505045842,345.17192203380022875,72.90519856113911601,10.0239383107101822645,2.3154808999195193309,-0.34243712687061822475
20,56034.236814540738123,56035.347741252524433,69.07814044303911771,349.4912429850202784,78.72133630171545349,9.7505593977321431964,-2.6786751282339742453,-3.6136471182261553636
21,56066.15551026183675,56068.291760076754144,59.859992588180297446,352.13455898769939267,78.663893602527949156,6.746571933018378431,-2.3967681089596091226,-0.75990039438259238125
22,56094.08785897462075,56095.193334511379362,36.318808883568706847,349.5380926308934022,78.72528209871740046,25.949306197877760383,-1.9708724177791037135,-18.817886188328959207
23,56150.891978935644143,56151.99309393893781,45.332434589274598125,356.06378806011025517,88.539398276598646476,5.5296862175033751896,-7.9426707904228486257,-3.1073263458305673268
24,56172.8396762781631,56174.945328778980183,41.59296818551768382,355.56406012173135878,88.87101656987687193,12.754074071220456332,-7.6572182006200240068,-10.319421274362417407
25,56193.780030996320416,56194.891325931450407,22.823196057999023623,357.1324655337900822,90.00045771984760279,4.710977771153830318,-9.762194682981800042,-2.3000306385209383642
26,56213.72756748472602,56214.836456664677826,36.183616468697806567,354.68450171141063265,86.40112527285742772,14.8276253980907064545,-4.835181199605974811,-11.585450090168285087
27,56234.792586524781655,56235.764071577919825,33.843172961126427367,358.8348157930539628,87.55062670459651031,-0.017712437362660815587,-9.131904947379926085,0.9933899855510728294
28,56249.65155007161957,56250.740873314716737,-53.42384257111989143,359.31710303256448924,81.161186878332699735,-5.1429726202332144425,-4.200079519073348422,6.150960515711803467
29,56288.49479328591405,56290.54592409505131,-13.460427699755721065,349.31520297529021946,76.38668306668866137,15.0188508826392919104,1.9348264797927434699,-9.551673931360207703
30,56310.341895827827106,56311.567484139108274,6.3499613949169280147,344.2915942880709963,84.01162890003990924,16.860024912361318172,-5.5724555038033463106,-10.018462365907376821
31,56332.41235860959568,56333.613894097303277,51.42358300799160986,346.15847203317736103,78.805733168839466884,1.9739125837615965064,-0.63106118907952801766,3.243444525528503597
32,56352.33142260574823,56354.42690215439507,47.537542114089021084,339.97965564436890418,76.03282383786959997,15.947525709921286818,0.96913473549585216205,-5.6057627802819967044
33,56367.291592121044236,56368.396238212568274,52.429986029186643748,342.3318018214664562,81.017320391220863485,7.9817926945602888367,-4.154293276320439432,-1.672807566428291981
34,56387.27581582307175,56391.28974500853655,34.0079357082631617,341.54084293000545358,77.68089550195216475,13.968974826490660135,-1.7068854530127097746,-6.8131980942361423104
35,56407.13272077459987,56410.368411566640138,84.84872123649844866,344.8596896033427015,82.89536826352245669,0.6936006772158569422,-4.256769616229880704,5.5846158429554151326
36,56431.156112783835855,56432.316421341747628,89.05494597886028885,343.3496958430538939,75.68079238144244414,4.878129753458221529,1.4034033186717960184,1.9861624600498173354
37,56450.013068909160207,56451.256711931484457,94.32959732352554738,340.9733186320419236,81.798045702383021194,9.82045757355006721,-5.6042274749447882343,-2.4769173876871430906
38,56471.012489181761342,56472.064438769208206,46.86567730501077733,339.5699117261104334,79.878496847034284656,12.928939669417545133,-3.9457833295379316496,-4.88010298711909396
39,56492.06790044237278,56493.12930748950021,76.97509179301165716,341.40114847377543583,77.07593005010438958,7.603200899487323916,-3.2678147422318968296,-3.0273949797513672877
40,56521.88811597767199,56523.0480027276717,15.248429614323374182,343.0903769731417583,74.16365646168874548,-4.90944296894141452,-0.27523657388314809458,10.245312328542091507
41,56546.966643188534363,56550.91607587553153,150.52594317152252756,339.35019286773757585,69.30693040436679553,5.6335921498260983498,2.6075803713263239203,0.16444345520022174423
42,56584.67927636644163,56585.818311719624038,46.539068912741910822,339.97889040316164255,68.59284568786794978,10.388627111411761206,1.2700101809661705765,-5.274414794650436278
43,56672.36434370686766,56676.57545916052913,144.80053032283078096,350.56832147783137543,77.092056159586093145,-9.769837483927737765,-4.0057730075372415257,5.8651252398535467236
44,56703.478835486283057,56709.470676570366784,78.46370066296515233,349.80784960497987868,73.05246559619988034,-5.189870962083000805,0.75921119011103643803,2.18438346643654846
45,56762.228180737940416,56763.4008356040722,-64.914134299672667794,352.09978049013744794,80.24480872030873968,-8.998417931710545048,-5.9513684826322261756,5.754071188878498333
46,56790.19204531089053,56792.219705358613286,-23.854006228003456158,346.30966292677391039,63.73229308821094463,7.2814136769175146213,7.430104369545791343,-7.3737618374461053605
47,56828.105966251234353,56829.202306780774965,9.856134745445384482,342.4540697452090967,80.6420811187320794,2.6812835484271002606,-8.686579888489443846,-0.4597174644581096814
48,56849.992803289962467,56851.10177268899861,10.970582824052193871,341.08610171313421233,65.69184330789208559,1.4195599709628321516,5.8219860861762811055,1.4906548120072751207
49,56921.77667174545059,56922.97640145855985,4.476939143887769035,341.79188926089381084,71.74321068416611524,1.5163747037861021738,-0.36555912942598067783,-1.5046752093662449923
50,56945.763785584873403,56948.8046796634153,22.66917103402632705,336.36432826052663358,71.06146983554954488,7.8970230185720584615,0.07219690999767865158,-3.0808126163798483788
51,56977.69519975875301,56978.759457808395382,-29.633497884862052274,342.3757568827914497,75.336773226292933714,-1.4847957472607149487,-2.0362511700130840886,1.0320500333993996023
52,57011.51466837882617,57012.648876860657765,14.645104444969142321,342.14324672831162388,73.814371917050706884,-3.0410997793832885705,0.085683125676768737145,5.06629604154256441
53,57040.52167083854147,57041.633433208560742,-3.2328389221263869047,341.70140616534240507,70.959792843418767916,-5.9522795070617959823,1.9164812223763805221,6.7282189352397860915
54,57078.370248566017835,57080.450523665669607,13.581260327858462489,342.89475849004060137,72.69365015222594195,-8.267583576506860155,1.9795929987918747806,10.537666736075475882
